NE,1ST,CIR,15300,16199,(B),C082
NE,1ST,ST,15800,15899,(B),C082
SE,1ST,ST,12100,12399,(B),C050
SE,1ST,ST,14000,15499,(B),C089
SE,1ST,ST,15501,16399,(B),C068
SE,1ST,ST,16401,16799,(O),C082
SE,1ST,ST,16500,17098,(E),C082
SE,1ST,ST,16801,16899,(O),C063
SE,1ST,ST,17800,19199,(B),R092
NE,2ND,CIR,17200,17399,(B),C063
NE,2ND,LOOP,17200,17399,(B),C063
NE,2ND,ST,11400,11698,(B),C076
NE,2ND,ST,12100,12399,(B),C050
NE,2ND,ST,14800,15199,(B),C059
NE,2ND,ST,15300,16199,(B),C082
NE,2ND,ST,17000,17699,(B),C063
SE,2ND,CIR,12400,12799,(B),C050
SE,2ND,CIR,15200,15299,(B),C089
SE,2ND,ST,15600,15998,(B),C068
SE,2ND,ST,16900,17099,(B),C063
NE,3RD,CIR,14800,14999,(B),C059
NE,3RD,CIR,15300,15699,(B),C082
NE,3RD,CIR,17300,17399,(B),C063
NE,3RD,ST,11500,11699,(B),C076
NE,3RD,ST,12100,12399,(B),C050
NE,3RD,ST,14900,15099,(B),C059
NE,3RD,ST,15800,16199,(B),C082
NE,3RD,ST,17000,17698,(B),C063
SE,3RD,ST,15200,15499,(B),C089
SE,3RD,ST,15500,16399,(B),C068
SE,3RD,ST,16900,17099,(B),C063
SE,3RD,WAY,13500,13599,(B),C089
NE,4TH,CIR,15000,15199,(B),C059
NE,4TH,CIR,15700,15899,(B),C082
NE,4TH,CIR,17500,17699,(B),C063
NE,4TH,ST,11200,11398,(B),C076
NE,4TH,ST,11700,12499,(B),C050
NE,4TH,ST,12800,12899,(B),C097
NE,4TH,ST,13100,13198,(E),C097
NE,4TH,ST,13101,13199,(O),C050
NE,4TH,ST,13118,13118,(E),C097
NE,4TH,ST,13600,13699,(B),C089
NE,4TH,ST,15300,16199,(B),C082
NE,4TH,ST,17200,17499,(B),C063
NE,4TH,WAY,15900,16199,(B),C082
SE,4TH,ST,15100,15399,(B),C089
SE,4TH,ST,15800,16399,(B),C068
SE,4TH,ST,16900,17099,(B),C063
NE,5TH,CIR,14000,14199,(B),C059
NE,5TH,ST,11701,13199,(B),C050
NE,5TH,ST,14500,15199,(B),C059
NE,5TH,ST,15300,15699,(B),C082
NE,5TH,ST,16700,17699,(B),C063
NE,5TH,WAY,13700,13899,(B),C097
SE,5TH,CIR,14700,14799,(B),C089
SE,5TH,ST,14800,15399,(B),C089
SE,5TH,ST,15501,15999,(B),C068
SE,5TH,ST,16400,17099,(B),C063
NE,6TH,CIR,14400,15799,(B),C059
NE,6TH,CIR,15800,16099,(B),C082
NE,6TH,CIR,17500,17599,(B),C063
NE,6TH,ST,11800,11999,(B),C050
NE,6TH,ST,13800,15699,(B),C059
NE,6TH,ST,16700,17499,(B),C063
SE,6TH,ST,16200,16299,(B),C068
SE,6TH,ST,16400,17099,(B),C063
NE,7TH,CIR,11600,11699,(B),C050
NE,7TH,CIR,13900,14099,(B),C059
NE,7TH,PL,12700,12799,(B),C050
NE,7TH,ST,11200,11399,(B),C076
NE,7TH,ST,11700,13099,(B),C050
NE,7TH,ST,14401,15899,(B),C059
NE,7TH,ST,15900,16199,(B),C082
NE,7TH,ST,16700,17599,(B),C063
NE,7TH,WAY,13801,15099,(B),C059
NE,8TH,CIR,16000,16099,(B),C082
NE,8TH,PL,12700,13099,(B),C050
NE,8TH,ST,11400,12499,(B),C050
NE,8TH,ST,13800,15198,(B),C059
NE,8TH,ST,16101,16199,(B),C080
NE,8TH,ST,16200,17499,(B),C063
NE,8TH,WAY,13700,13898,(B),C097
NE,9TH,CIR,15500,15599,(B),C059
NE,9TH,CIR,15700,15999,(B),C082
NE,9TH,ST,11000,12499,(B),C050
NE,9TH,ST,12500,13599,(B),C097
NE,9TH,ST,13600,13698,(E),C050
NE,9TH,ST,13601,13699,(O),C097
NE,9TH,ST,13800,15499,(B),C059
NE,9TH,ST,16200,17199,(B),C063
NE,9TH,WAY,15400,15499,(B),C059
NE,9TH,WAY,16100,16199,(B),C080
NE,9TH,WAY,16400,16599,(B),C063
NE,10TH,CIR,16000,16199,(B),C080
NE,10TH,PL,16500,16599,(B),C063
NE,10TH,ST,12201,12499,(B),C050
NE,10TH,ST,14000,15199,(B),C085
NE,10TH,ST,15600,15999,(B),C080
NE,10TH,ST,16700,16899,(B),C063
NE,10TH,WAY,15800,16199,(B),C080
NE,10TH,WAY,16700,16899,(B),C063
NE,11TH,CIR,12300,12399,(B),C050
NE,11TH,CIR,14300,15399,(B),C085
NE,11TH,ST,12600,12799,(B),C097
NE,11TH,ST,14500,15099,(B),C085
NE,11TH,ST,16200,17199,(B),C063
NE,12TH,LOOP,15800,15899,(B),C063
NE,12TH,ST,12200,12399,(B),C050
NE,12TH,ST,12400,12699,(B),C097
NE,12TH,ST,14800,15799,(B),C085
